id,crop_year,district_id,variety_code,grape_type_code,brix_code,brix_value,wt_price_per_ton,tons_crushed,report_type
66490e2060e0adeb,2000,7,32925,6,0010,,155.0,320.7,Final
debee9de61bb6f18,2000,7,58757,6,0010,,1067.14,5.2,Final
3ce3f435bf1e0a37,2000,7,83354,6,1240,1.24,1200.0,7.2,Final
14b68490a02fb8af,2000,7,33646,6,0010,,155.0,317.5,Final
0ae826d13682cb41,2000,7,96654,6,1590,1.59,3200.0,2.0,Final
e0731cd87f8e3f24,2000,7,51905,6,1210,1.21,1500.0,3.4,Final
fb4624287b188c47,2000,7,79633,6,0010,,1293.46,37.3,Final
3f6fb2da906d98f7,2000,7,74843,6,1240,1.24,700.0,22.3,Final
51735ed787cb5d38,2000,7,80673,6,0800,0.8,1400.0,7.6,Final
31977af92af0816b,2000,7,38245,6,0980,0.98,300.0,23.1,Final
cd0eee4ccaed09d6,2000,7,31598,6,5620,5.62,1800.0,2.1,Final
614c02a80f7088a7,2000,7,53229,6,1010,1.01,2006.32,10.6,Final
cd427951ba6eea23,2000,7,42791,6,0010,,2254.19,1.1,Final
466d2ce311ac070f,2000,7,59887,6,0010,,155.0,491.1,Final
8d50e808e6f80ec9,2000,7,55124,6,0010,,1563.29,3.8,Final
627fb3628dfdf41d,2000,8,63627,4,2030,2.03,4.0,278.0,Final
3b5538a5e1c401b2,2000,8,62594,7,4950,4.95,89.6,44.8,Final
18f347f7b110b58b,2000,8,93146,7,1020,1.02,400.0,6.9,Final
07aedcc2d73c9653,2000,8,38174,7,1790,1.79,710.61,10.7,Final
bea177977133f419,2000,8,66546,7,1010,1.01,1800.0,2.9,Final
535ebf7fd1dd1a57,2000,8,45183,7,1210,1.21,552.37,8.4,Final
bc4c177ac9473fbd,2000,8,60317,7,0010,,600.0,8.9,Final
21942b70626e25c7,2000,8,82076,7,0010,,1100.0,15.5,Final
7a943e7b9d97f903,2000,8,91155,7,5043,5.043,1000.0,66.1,Final
1329899572e0ed02,2000,8,84170,7,0010,,1200.0,4.0,Final
15db857baecf0b8e,2000,8,91354,7,0010,,1400.0,2.8,Final
bc655a0d172371d8,2000,8,51980,7,4253,4.253,300.0,160.4,Final
a7f84e8a6c31a3a6,2000,8,79539,7,0010,,600.0,11.3,Final
852bf1c417f17c0c,2000,8,95770,7,0010,,851.48,23.4,Final
5240efa8acdffefa,2000,8,23534,7,0010,,1400.0,6.1,Final
ece18ca296532597,2000,8,89075,7,0010,,1000.0,1.7,Final
cf5ef73018ca3ff2,2000,8,32683,7,1790,1.79,674.44,53.6,Final
d034347da606d2dd,2000,8,42952,6,1910,1.91,1250.0,4.1,Final
fff55322b921ef53,2000,8,25250,6,0010,,1200.0,1.0,Final
1c513a6086892456,2000,8,19237,6,1010,1.01,2000.0,12.6,Final
6b8ea19b1f6c0f62,2000,8,65102,6,0010,,350.84,19.7,Final
c9a31ea7398abd4f,2000,8,60420,6,0010,,942.0,105.6,Final
a07d82c6505e8aaa,2000,8,49411,6,1910,1.91,1150.0,8.4,Final
3db96c9d2c82330a,2000,8,60647,6,0010,,1000.0,13.5,Final
eb0eb282389e7afc,2000,8,31159,6,0780,0.78,1000.0,2.5,Final
1b166cf0962c067a,2000,8,68719,6,1000,1.0,1000.0,4.2,Final
09190b9f867a7b79,2000,8,37688,6,0010,,1500.0,6.2,Final
b92e72696166353e,2000,8,69496,6,1010,1.01,770.0,14.7,Final
39dc8433134939f8,2000,8,14303,6,0010,,1000.0,18.8,Final
b56e8206149a896e,2000,8,81126,6,0010,,1200.0,2.1,Final
3a80af4e5d509159,2000,8,97003,6,0010,,1000.0,8.6,Final
78d7cb1eebaf7688,2000,8,41265,6,0010,,1000.0,9.9,Final
54da2c30cf89317c,2000,8,50245,6,0010,,950.0,42.4,Final
9e24dd3947e2ce72,2000,8,44477,6,0010,,2459.56,33.7,Final
e33309908349d0dd,2000,8,62386,6,1650,1.65,1500.0,3.2,Final
766a2583cccda508,2000,8,19354,6,0010,,800.0,2.2,Final
a5fd917d515a48e4,2000,8,32925,6,1900,1.9,814.98,26.4,Final
da26667fc771a074,2000,8,58757,6,0010,,1000.0,2.9,Final
b5fa323c9288c665,2000,8,33646,6,3730,3.73,750.0,9.3,Final
ac0c177a0186fd8d,2000,8,51905,6,1000,1.0,1899.0,1.1,Final
a2980a8d6ade4ef9,2000,8,79633,6,0010,,1200.0,39.6,Final
f8de7905364e2521,2000,8,74843,6,0010,,1000.0,4.8,Final
2c2743c3ec6b43f7,2000,8,80673,6,1290,1.29,1250.0,1.2,Final
6b2d71b9976c8980,2000,8,38245,6,1630,1.63,500.0,2.3,Final
8d59ee7a2319c824,2000,8,28407,6,1010,1.01,1300.0,2.2,Final
65cd205b5810be5c,2000,8,31598,6,0010,,1200.0,0.5,Final
3470f0c324a0bdb5,2000,8,30932,6,0010,,1250.0,0.7,Final
f3ef664234116837,2000,8,57454,6,1703,1.703,1400.04,0.8,Final
1925aece48344957,2000,8,42731,6,1830,1.83,1250.0,1.8,Final
3426211806754b77,2000,8,59887,6,0010,,441.8,389.1,Final
8eaf2ca774d6f433,2000,8,55124,6,0010,,500.0,0.4,Final
2fca1a5985fa082e,2000,9,62594,7,4230,4.23,125.0,2038.4,Final
8a9c4e8186c3b820,2000,9,93146,7,3010,3.01,185.0,341.5,Final
45614bbd5ce0a993,2000,9,46999,7,3250,3.25,125.0,1341.3,Final
4b680e603d11a2ea,2000,9,60317,7,0640,0.64,300.0,1.0,Final
b38356da453cc2e4,2000,9,82076,7,5620,5.62,700.0,6.3,Final
f6652f332b5917c2,2000,9,76674,7,0010,,200.0,15.2,Final
eaab01f3ddc1cc75,2000,9,84170,7,0010,,1200.0,3.5,Final
4a4cef751927309b,2000,9,51980,7,0010,,500.0,45.0,Final
97564bde19d9dab0,2000,9,79539,7,0010,,1250.0,0.2,Final
ed7d81154cd5c33d,2000,9,92343,7,1130,1.13,290.0,247.3,Final
3c11a1c4eb2c3af7,2000,9,89075,7,0010,,1250.0,0.3,Final
aa7796b0a0e3258d,2000,9,25250,6,0010,,1250.0,0.5,Final
